Q,k,l,kappa
0.001978050485070197,11.199999999999998,40.0,0.5
0.010682676659770943,8.4,40.0,0.5
0.030704494639348538,9.1,39.0,0.5
0.01579514125459453,9.799999999999999,39.0,0.5
0.003641302993522192,10.499999999999998,39.0,0.5
0.005901969637353842,9.799999999999999,38.0,0.5
0.020546706863164576,9.1,38.0,0.5
0.029688080508201205,8.4,38.0,0.5
0.015731343275440977,7.700000000000001,38.0,0.5
0.026568484580116316,7.700000000000001,37.0,0.5
0.010875868577011429,7.000000000000001,37.0,0.5
0.02458659571124651,8.4,37.0,0.5
0.02559725226669442,7.700000000000001,36.0,0.5
0.02201455533318631,8.4,39.0,0.5
0.0023026868454274056,7.700000000000001,40.0,0.5
0.003556707034780737,8.4,41.0,0.5
0.0006132323170380574,7.700000000000001,41.0,0.5
0.006962605990276707,7.700000000000001,39.0,0.5
0.004022737333103663,7.000000000000001,38.0,0.5
0.008896272637411388,9.1,37.0,0.5
0.0006279898926465667,6.300000000000001,38.0,0.5
0.0013230605926963577,7.000000000000001,39.0,0.5
0.00019285858391051934,6.300000000000001,39.0,0.5
7.495959520242833e-5,5.6000000000000005,38.0,0.5
0.0023146969463161923,6.300000000000001,37.0,0.5
0.0007459494874146516,10.499999999999998,38.0,0.5
0.00035828282466380986,11.199999999999998,39.0,0.5
4.776767628517499e-5,11.199999999999998,38.0,0.5
0.007099111039402918,11.199999999999998,41.0,0.5
0.0010635252417825734,11.899999999999997,41.0,0.5
0.0004213030260474442,12.599999999999996,42.0,0.5
0.0019292020007151314,12.599999999999996,43.0,0.5
0.00018670706882114072,13.299999999999995,43.0,0.5
8.565656479134783e-6,13.999999999999995,43.0,0.5
0.009960848384233854,11.899999999999997,43.0,0.5
0.022502898762596982,11.199999999999998,43.0,0.5
0.019285878593071935,10.499999999999998,43.0,0.5
0.007070323160905827,9.799999999999999,43.0,0.5
0.0016201717008063464,9.1,43.0,0.5
0.008233575674408326,10.499999999999998,44.0,0.5
0.01790623214236129,11.199999999999998,44.0,0.5
0.0021952929071182535,9.799999999999999,44.0,0.5
0.015789767517275077,11.899999999999997,44.0,0.5
0.005595757519234772,12.599999999999996,44.0,0.5
0.009929474647177024,12.599999999999996,45.0,0.5
0.0026961413869076626,13.299999999999995,45.0,0.5
0.00036002019838363435,13.999999999999995,45.0,0.5
0.0012783333204208756,13.999999999999995,46.0,0.5
0.005795989840444547,13.299999999999995,46.0,0.5
0.00012819191789705133,14.699999999999994,46.0,0.5
0.010850949385343946,12.599999999999996,46.0,0.5
0.008179555472933784,11.899999999999997,46.0,0.5
