gamma,l,kappa
0.54375,160.0,4.0
0.55,160.0,6.0
0.55625,160.0,8.0
0.55625,160.0,10.0
0.56875,160.0,12.0
0.575,160.0,14.0
0.575,160.0,16.0
0.58125,160.0,18.0
0.58125,160.0,20.0
0.5529411764705883,170.0,0.0
0.5705882352941176,170.0,2.0
0.5647058823529412,170.0,4.0
0.5411764705882354,170.0,6.0
0.5705882352941176,170.0,8.0
0.5764705882352941,170.0,10.0
0.5411764705882354,170.0,12.0
0.5647058823529412,170.0,14.0
0.5705882352941176,170.0,16.0
0.5588235294117647,170.0,18.0
0.5705882352941176,170.0,20.0
0.55,180.0,0.0
0.5722222222222222,180.0,2.0
0.5833333333333333,180.0,4.0
0.5722222222222222,180.0,6.0
0.5777777777777777,180.0,8.0
0.5722222222222222,180.0,10.0
0.5666666666666667,180.0,12.0
0.5888888888888889,180.0,14.0
0.5888888888888889,180.0,16.0
0.5833333333333333,180.0,18.0
0.5833333333333333,180.0,20.0
0.5526315789473684,190.0,0.0
0.5789473684210527,190.0,2.0
0.5947368421052632,190.0,4.0
0.5789473684210527,190.0,6.0
0.5842105263157895,190.0,8.0
0.5894736842105263,190.0,10.0
0.5947368421052632,190.0,12.0
0.5947368421052632,190.0,14.0
0.5684210526315789,190.0,16.0
0.5789473684210527,190.0,18.0
0.6,190.0,20.0
0.575,200.0,0.0
0.595,200.0,2.0
0.58,200.0,4.0
0.585,200.0,6.0
0.595,200.0,8.0
0.575,200.0,10.0
0.605,200.0,12.0
0.595,200.0,14.0
0.595,200.0,16.0
